Review_ID,Actual_Sentiment,Primary_Aspect,Review_Text,Predicted_Sentiment,Polarity,Subjectivity
1,Mixed,Food/Restaurant & Staff,lunch meal was very nice. lavish our waiter was very attentive sometimes a bit too much. restaurant very nice. thoroughly enjoyable.,positive,0.556,0.76
2,Positive,Food/Restaurant & Staff,wonderful experience at cafe resto. always with mr. lavish. the experience at resto is worldclass friendly. we would love to visit again and again.,positive,0.625,0.7
3,Negative,Overall & Room & Staff,this socalled 5star hotel barely feels like a 3star. service is extremely poor. staff is unprofessional. rooms are no better. walls are so thin you can hear everything. worst experience by far. room bedsheets towels look and feel cheap. not worth the price or a 5star experience.,negative,-0.206,0.606
4,Positive,Staff & Food/Restaurant,thank you ankit for your great service. food was really great at the restaurant. would highly recommend.,positive,0.587,0.68
5,Positive,Location & Price & Staff,location is ideal. pricing is reasonable. people staff are good.,positive,0.6,0.733
6,Positive,Room,great one! rooms are very clean and aesthetic.,positive,0.738,0.83
7,Positive,Staff,had a very pleasant experience with the front office team shruti kashyap.,positive,0.953,1.0
8,Mixed,Room,i found only suite rooms to be spacious.,neutral,0.0,1.0
9,Positive,Room & Facilities & Location,good looking and very pleasant to stay. ac is also working well. good furniture nice looking. good maintenance. overall everything is good. adyar anandabavan and kabilar theertham fallstemple are nearby.,positive,0.622,0.629
10,Negative,Room & Staff & Booking/Check-in,hotel is very dirty sticky and cheap. staff does not understand english. no showertv not working. booked executive room but was given a horrible standard room. overall experience is worst.,negative,-0.34,0.529
11,Negative,Staff/Management & Facilities & Room,wait time of 45 mins for room. tv never worked. frequent water shortages. management is very irresponsible. rooms were pretty unclean. avoid this one if traveling with family.,positive,0.183,0.533
12,Negative,Room & Cleanliness,this is a zero star hotel. pretty old. bed bugs everywhere. pillow covers bed bugs towels had a bad smell and color. reserve elsewhere.,negative,-0.117,0.622
13,Positive,Value & Overall & Staff & Location,fantastic value for the money. staff and location were good. overall experience was very positive. comfortable and affordable place to stay.,positive,0.359,0.602
14,Mixed,Food/Breakfast & Staff & Room,good hotel. only variety in the breakfast could be increased. ac problem was immediately resolved by changing the room. staff is wellmannered and helpful.,positive,0.35,0.8
15,Negative,Room & Service & Facilities,very bad experience for nonac rooms. very bad room worst service. no ventilation. dirty fan runs slowly. plugs are falling lights not working. no service or change of linens.,negative,-0.744,0.787
16,Negative,Room & Staff & Service & Cleanliness,rooms are terrible. staff takes too much time for requests. reception person is very annoying. room was dirty even the second room was dirty. rooms are smelly bedsheets are dirty towels are torn.,negative,-0.514,0.657
